,city,Temperature,Longitude,Latitude,Cloudiness,Wind Speed,Humidity
0,chibougamau,16.79,-74.3659,49.9168,75,1.03,82
1,amuntai,28.39,115.2494,-2.4177,100,1.29,68
2,puerto natales,-1.19,-72.4875,-51.7236,100,1.09,86
3,klyuchi,29.68,79.1667,52.2667,80,4.0,45
4,port mathurin,23.2,63.4167,-19.6833,23,10.29,74
5,haiku-pauwela,25.1,-156.3051,20.9219,40,11.83,71
6,enewetak,28.42,162.3373,11.3474,24,8.45,78
7,port-aux-francais,1.49,70.2167,-49.35,100,14.45,65
8,wailua homesteads,24.78,-159.378,22.0669,100,7.72,83
9,snyder,32.14,-100.9176,32.7179,0,3.09,29
10,zhezqazghan,23.32,67.7667,47.7833,0,7.0,46
11,tiksi,12.76,128.8694,71.6872,95,6.05,56
12,adamstown,22.58,-130.1015,-25.066,100,6.33,89
13,pont rouge,14.06,-72.0825,48.8833,100,2.56,89
14,west island,27.99,96.8225,-12.1568,75,6.69,78
15,grytviken,-3.83,-36.5092,-54.2811,78,3.92,87
16,udachny,23.8,112.4,66.4167,26,8.26,34
17,happy valley-goose bay,14.17,-60.3315,53.3168,40,4.63,77
18,tazovsky,16.5,78.7,67.4667,64,0.31,66
19,polyarnyy,12.14,33.4478,69.1989,6,3.7,71
20,port elizabeth,16.29,25.5701,-33.918,0,3.6,77
21,yuzhno-kurilsk,8.77,145.8556,44.0306,100,5.31,97
22,aykhal,22.26,111.5,66.0,19,7.59,35
23,port douglas,23.72,145.4667,-16.4833,85,5.75,70
24,fort bragg,28.01,-79.006,35.139,0,4.63,77
25,nova vicosa,23.18,-39.3719,-17.8919,80,3.21,87
26,colonia,13.95,6.95,50.9333,0,1.54,88
27,bouarfa,23.15,-1.95,32.53,5,2.0,19
28,nemuro,9.49,145.575,43.3236,100,6.18,98
29,aflou,19.69,2.1023,34.1128,28,2.5,35
30,porto velho,27.03,-63.9039,-8.7619,0,0.0,78
31,yemetsk,6.96,41.7941,63.4721,75,2.03,82
32,shache,30.03,77.2406,38.4167,100,8.45,22
33,taoudenni,36.59,-3.9836,22.6783,31,4.45,8
34,rawson,4.56,-65.1023,-43.3002,31,7.08,78
35,bredasdorp,12.11,20.0403,-34.5322,9,1.9,81
36,malpica,15.77,-8.8105,43.3228,99,5.69,82
37,papatowai,9.87,169.4708,-46.5619,99,5.22,94
38,puerto ayora,20.86,-90.3518,-0.7393,60,3.66,100
39,fale old settlement,28.06,-171.2468,-9.3852,99,9.45,78
40,carnarvon,19.4,113.6333,-24.8667,0,7.99,43
41,kembe,21.22,21.8865,4.6228,100,0.4,91
42,anadyr,7.78,177.4833,64.75,20,6.71,70
43,hoemul-li,17.7,129.67,41.4339,53,3.02,76
44,ilulissat,1.01,-51.1,69.2167,100,1.54,100
45,kingston,29.53,-76.7936,17.997,100,6.17,70
46,edinburgh of the seven seas,14.63,-12.3116,-37.0676,92,12.36,78
47,borogontsy,24.55,131.1683,62.6683,19,3.48,32
48,ringim,28.59,9.1619,12.1548,20,6.03,62
49,waitangi,11.57,-176.5597,-43.9535,100,2.24,77
50,longyearbyen,6.91,15.6401,78.2186,75,4.12,81
51,antofagasta,14.6,-70.4,-23.65,44,2.02,80
52,tuban,29.6,112.0649,-6.8976,94,3.26,65
53,hamilton,23.59,-84.5333,39.1834,40,3.09,79
54,gadzhiyevo,12.11,33.3362,69.2551,6,3.57,71
55,fukuecho,24.2,128.8419,32.6881,75,2.06,94
56,saipan,31.39,145.701,15.1355,40,7.2,74
57,borba,24.74,-59.5939,-4.3878,21,1.42,79
58,pitimbu,23.33,-34.8086,-7.4706,21,3.6,82
59,albany,23.36,-73.9662,42.6001,100,4.3,73
60,bonthe,25.27,-12.505,7.5264,81,2.43,90
61,constantia,18.38,28.65,44.1833,85,2.67,68
62,ocean shores,15.01,-124.1563,46.9737,0,5.66,84
63,ancud,6.56,-73.8203,-41.8697,73,4.66,88
64,angaur state,29.41,134.13,6.906,21,4.8,73
65,invercargill,12.23,168.35,-46.4,36,2.68,85
66,bilibino,17.99,166.4372,68.0546,100,3.34,41
67,newman,33.09,-121.0208,37.3138,0,1.79,43
68,bethel,22.58,-73.414,41.3712,0,0.0,87
69,college,26.71,-147.8028,64.8569,75,2.57,24
70,petropavlovsk-kamchatsky,9.33,158.6483,53.0452,75,4.0,71
71,el bolson,1.29,-71.5167,-41.9667,97,0.21,97
72,jamestown,19.75,-79.2353,42.097,100,4.12,88
73,alofi,24.94,-169.9187,-19.0595,75,8.23,61
74,saldanha,12.03,17.9442,-33.0117,0,2.57,92
75,hami,34.42,93.45,42.8,0,2.95,9
76,harper,25.11,-7.7169,4.375,90,3.99,88
77,burnie,13.03,145.9167,-41.0667,100,4.04,71
78,hermanus,11.0,19.2345,-34.4187,4,1.85,75
79,olonkinbyen,4.48,-8.7187,70.9221,100,2.59,100
80,port lincoln,14.07,135.8667,-34.7333,49,7.71,57
81,kodiak,16.73,-152.4072,57.79,40,2.06,59
82,atherton,12.93,-2.4935,53.5237,8,0.78,89
83,margaret river,13.28,115.0667,-33.95,99,4.94,78
84,ushuaia,-3.19,-68.3,-54.8,0,2.06,68
85,ulsteinvik,11.49,5.8487,62.3432,41,3.58,74
86,camayenne,24.05,-13.6878,9.535,75,3.09,94
87,reggane,34.46,0.1714,26.7158,0,4.02,9
88,youkounkoun,25.7,-13.1333,12.5333,94,1.97,86
89,corumba,23.67,-57.6533,-19.0092,2,0.36,51
90,horta,21.12,-28.6333,38.5333,28,3.58,97
91,tucurui,25.03,-49.6725,-3.7661,100,1.33,67
92,edd,32.26,41.6925,13.9297,94,1.45,53
93,vilyuchinsk,10.15,158.4028,52.9306,100,3.02,81
94,geiro,11.16,36.8667,-6.15,9,1.09,84
95,remire-montjoly,24.02,-52.2667,4.9167,100,1.03,100
96,nafada,27.26,11.3327,11.0956,100,5.28,63
97,nguigmi,29.77,13.1092,14.2495,100,8.15,54
98,dara,27.05,-15.4799,15.3484,5,4.95,58
99,ketchikan,15.23,-131.6461,55.3422,20,5.66,63
100,chifeng,24.46,118.9636,42.2683,1,6.26,29
101,bardai,23.86,7.2333,11.65,89,2.39,83
102,labytnangi,13.44,66.4183,66.6572,89,6.12,59
103,nar'yan-mar,10.01,53.087,67.6713,99,5.64,70
104,blackmans bay,10.96,147.3167,-43.0167,90,0.89,74
105,batie,24.99,-2.9167,9.8833,98,2.4,75
106,barcelos,18.1,-8.6151,41.5388,59,1.42,85
107,talnakh,13.28,88.3972,69.4865,100,3.37,81
108,lishui,28.32,119.9103,28.4604,100,1.8,90
109,yellowknife,18.01,-114.3525,62.456,75,8.75,62
110,ypsonas,24.5,32.9574,34.6884,0,1.03,83
111,ituango,16.86,-75.764,7.1712,96,0.57,98
112,kismayo,24.97,42.5454,-0.3582,78,7.37,82
113,araguaina,25.32,-48.2072,-7.1911,15,1.04,44
114,yaroslavskiy,12.52,132.2072,44.1683,100,5.63,95
115,iqaluit,1.5,-68.5145,63.7506,100,1.03,93
116,neiafu,27.38,-173.9833,-18.65,40,4.63,61
117,kolonia town,32.0,158.206,6.964,100,3.6,66
118,corinto,23.83,22.9573,37.9407,0,0.98,43
119,pisco,17.03,-76.2167,-13.7,100,4.12,88
120,thompson,25.09,-97.8558,55.7435,75,2.57,36
121,sinop,18.15,34.8709,41.7711,0,2.73,38
122,kuzovatovo,13.22,47.6866,53.5468,1,5.22,76
123,mossel bay,10.96,22.146,-34.1831,0,0.93,80
124,afaahiti,25.93,-149.2833,-17.75,43,7.1,72
125,ashburton,13.04,145.0794,-37.8626,98,3.58,61
126,mazamari,23.44,-74.5308,-11.3258,83,0.79,77
127,avarua,23.03,-159.775,-21.2078,40,2.57,53
128,detroit lakes,21.03,-95.8453,46.8172,0,1.54,68
129,la ronge,21.14,-105.2842,55.1001,75,2.57,49
130,weno,28.85,151.8468,7.4515,96,7.04,79
131,ribeira grande,21.54,-28.7,38.5167,13,3.58,97
132,laguna,33.05,-121.4238,38.421,0,4.12,30
133,linkou,13.07,130.2833,45.3,100,1.26,97
134,male,27.97,73.5089,4.1748,100,5.14,89
135,konarka,31.2,86.1167,19.9,79,6.13,70
136,howrah,31.0,88.3103,22.5892,40,2.57,84
137,naples,20.25,14.25,40.8333,0,1.54,77
138,shendi,32.39,33.4341,16.6915,94,7.01,41
139,buulobarde,22.98,45.5674,3.8538,97,6.6,85
140,kholmsk,8.63,142.0569,47.0511,100,5.76,93
141,waingapu,28.46,120.2641,-9.6567,78,5.64,58
142,whitehorse,18.49,-135.0538,60.7161,40,2.06,48
143,georgetown,26.97,100.3354,5.4112,20,3.09,65
144,peace river,14.17,-117.286,56.2501,100,4.63,88
145,lorengau,30.01,147.2712,-2.0226,72,3.63,69
