City_ID,city,Temperature,Longitude,Latitude,Cloudiness,Wind Speed,Humidity
0,sosnovo-ozerskoye,25.31,111.5418,52.5249,10,1.18,40
1,kodiak,9.73,-152.4072,57.79,100,4.63,100
2,maloye ganyushkino,21.85,49.2667,46.6,0,2.95,30
3,thompson,24.09,-97.8558,55.7435,40,3.6,31
4,i-n-salah,36.55,2.4607,27.1935,83,4.35,9
5,kuanda,27.49,116.0806,56.3161,21,0.76,49
6,san luis de la loma,26.93,-100.8939,17.2706,88,1.1,85
7,ushuaia,0.81,-68.3,-54.8,75,1.54,93
8,bamyan,10.17,67.25,34.75,0,2.15,65
9,cooma,3.8,149.1333,-36.2333,100,2.18,58
10,yellowknife,28.29,-114.3525,62.456,40,3.6,24
11,port alfred,19.35,26.891,-33.5906,100,5.14,86
12,grytviken,-7.9,-36.5092,-54.2811,49,4.99,79
13,aracataca,27.04,-74.1898,10.5918,22,0.07,77
14,adamstown,19.25,-130.1015,-25.066,56,11.07,64
15,ghatkesar,24.36,78.6853,17.4494,100,4.11,87
16,port-aux-francais,4.81,70.2167,-49.35,100,6.71,97
17,majene,27.05,118.9707,-3.5403,97,3.66,83
18,bardai,24.43,7.2333,11.65,70,3.28,77
19,pavlogradka,18.79,73.5592,54.2024,84,1.75,74
20,loikaw,21.31,97.2094,19.6742,100,1.64,92
21,vorgashor,2.16,63.95,67.5833,24,5.05,76
22,sechura,19.52,-80.8222,-5.5569,6,6.67,75
23,longyearbyen,5.91,15.6401,78.2186,40,7.72,81
24,coyhaique,3.34,-72.0662,-45.5752,47,2.96,98
25,ardakan,29.0,54.0175,32.31,20,4.14,28
26,whitehorse,20.82,-135.0538,60.7161,75,4.63,42
27,edinburgh of the seven seas,15.39,-12.3116,-37.0676,70,14.75,81
28,alice springs,9.75,133.8833,-23.7,100,5.66,93
29,bethel,21.24,-73.414,41.3712,64,0.89,88
30,avarua,27.03,-159.775,-21.2078,75,3.6,78
31,utrik,27.77,169.8474,11.2278,100,8.06,77
32,dudinka,9.7,86.1778,69.4058,49,2.85,49
